timestamp, memory[node1]:1, memory[node2]:1, memory[node3]:1, memory[node4]:1, memory[node5]:1
1442853541000,1609.3184,1484.668928,1433.305088,1511.743488,1405.263872
1442853603000,1575.559168,1518.252032,1453.44512,1533.444096,1424.785408
1442853664000,1569.644544,1544.613888,1454.215168,1532.424192,1424.150528
1442853726000,1574.473728,1547.845632,1451.302912,1532.678144,1418.747904
1442853789000,1571.045376,1550.823424,1446.866944,1533.988864,1420.849152
1442853850000,1571.549184,1546.334208,1444.880384,1527.78752,1450.47552
1442853912000,1577.189376,1546.981376,1444.401152,1533.956096,1443.729408
1442853974000,1564.147712,1547.710464,1455.304704,1534.107648,1444.70016
1442854036000,1563.480064,1548.238848,1456.738304,1534.488576,1444.524032
1442854097000,1567.174656,1549.488128,1455.521792,1528.508416,1446.11328
1442854159000,1554.980864,1550.176256,1458.42176,1520.422912,1447.686144
1442854221000,1554.837504,1548.005376,1455.632384,1519.427584,1452.412928
1442854284000,1547.206656,1544.11008,1458.839552,1520.25088,1453.99808
1442854345000,1543.315456,1559.769088,1455.570944,1527.791616,1454.268416
1442854407000,1541.337088,1564.024832,1453.621248,1520.39424,1451.02848
1442854469000,1539.497984,1564.499968,1456.459776,1518.522368,1446.989824
1442854531000,1542.516736,1563.291648,1456.492544,1517.142016,1448.296448
1442854592000,1536.290816,1562.35776,1458.21696,1514.909696,1451.696128
1442854654000,1530.949632,1560.580096,1468.452864,1524.957184,1459.539968
1442854715000,1524.34688,1560.92416,1456.201728,1524.588544,1462.833152
1442854777000,1529.020416,1561.31328,1457.020928,1523.9168,1460.584448
1442854839000,1531.26912,1558.134784,1442.824192,1522.229248,1463.619584
1442854900000,1534.849024,1561.444352,1443.135488,1520.054272,1456.656384
1442854962000,1531.805696,1559.810048,1441.62816,1525.764096,1456.672768
1442855024000,1529.778176,1561.309184,1440.026624,1525.673984,1460.027392
1442855086000,1534.435328,1557.614592,1441.595392,1524.543488,1459.326976
1442855148000,1524.89984,1560.403968,1434.263552,1525.768192,1459.249152
1442855210000,1524.158464,1557.684224,1433.767936,1528.926208,1459.712
1442855271000,1523.269632,1559.552,1431.085056,1529.102336,1460.867072
1442855332000,1523.531776,1561.038848,1429.884928,1528.50432,1460.719616
1442855393000,1524.482048,1560.69888,1429.385216,1527.422976,1461.313536
1442855454000,1526.235136,1549.369344,1429.454848,1526.788096,1469.349888
1442855516000,1525.645312,1548.517376,1423.466496,1533.001728,1469.595648
1442855578000,1524.928512,1547.624448,1424.203776,1533.456384,1469.251584
1442855640000,1527.078912,1542.807552,1421.361152,1534.824448,1471.7952
1442855702000,1527.93088,1548.029952,1421.66016,1534.304256,1465.110528
1442855764000,1522.102272,1550.925824,1421.103104,1534.541824,1467.826176
1442855826000,1519.480832,1552.052224,1424.838656,1534.451712,1466.646528
1442855888000,1523.912704,1552.03584,1416.78592,1535.668224,1467.019264
1442855949000,1525.02272,1553.3056,1415.499776,1535.000576,1468.329984
1442856010000,1523.892224,1552.330752,1410.076672,1537.736704,1469.21472
1442856071000,1524.027392,1552.027648,1416.024064,1534.619648,1467.682816
1442856132000,1526.407168,1549.139968,1411.981312,1535.8976,1470.222336
1442856194000,1527.410688,1550.753792,1407.73376,1535.143936,1471.34464
1442856256000,1525.264384,1553.063936,1404.727296,1534.124032,1473.765376
1442856318000,1525.743616,1553.866752,1401.831424,1538.359296,1469.8496
1442856379000,1523.617792,1554.407424,1399.087104,1537.482752,1475.70688
1442856441000,1526.337536,1553.375232,1398.521856,1537.712128,1472.299008
1442856503000,1525.714944,1553.215488,1396.023296,1537.912832,1475.03104
1442856564000,1521.831936,1553.604608,1395.122176,1537.523712,1478.488064
1442856626000,1524.16256,1553.166336,1393.217536,1537.482752,1478.2464
1442856687000,1520.504832,1553.338368,1390.444544,1542.234112,1479.335936
1442856749000,1518.067712,1551.568896,1391.976448,1541.545984,1482.420224
1442856810000,1519.730688,1551.601664,1386.438656,1544.429568,1482.235904
1442856871000,1524.895744,1548.562432,1381.2736,1545.240576,1482.903552
1442856933000,1524.359168,1549.312,1378.217984,1545.555968,1488.764928
1442856995000,1525.59616,1548.9024,1376.72704,1545.428992,1489.73568
1442857056000,1526.018048,1544.146944,1377.619968,1548.816384,1488.564224
1442857118000,1525.796864,1545.867264,1369.493504,1549.561856,1489.096704
1442857180000,1523.806208,1542.356992,1373.396992,1550.655488,1491.31264
1442857242000,1523.269632,1557.487616,1370.877952,1549.287424,1485.193216
1442857303000,1523.523584,1553.420288,1368.24832,1549.754368,1487.200256
1442857365000,1522.536448,1551.826944,1364.733952,1554.419712,1488.564224
1442857427000,1522.814976,1548.550144,1368.481792,1553.068032,1487.540224
1442857489000,1523.32288,1548.918784,1366.581248,1554.374656,1486.15168
1442857550000,1522.929664,1554.161664,1366.315008,1550.364672,1485.348864
1442857612000,1523.818496,1557.413888,1364.742144,1548.673024,1484.9024
1442857674000,1521.897472,1553.383424,1364.041728,1548.234752,1491.652608
1442857735000,1524.8384,1552.748544,1361.924096,1547.374592,1491.288064
1442857797000,1523.662848,1550.712832,1361.477632,1551.54432,1489.682432
1442857858000,1523.429376,1549.76256,1359.269888,1552.515072,1491.296256
1442857920000,1523.359744,1549.737984,1359.11424,1552.09728,1490.640896
1442857982000,1524.482048,1549.98784,1353.650176,1552.67072,1492.205568
1442858044000,1526.341632,1551.19616,1353.097216,1552.621568,1490.90304
1442858106000,1521.93024,1552.375808,1353.723904,1553.178624,1491.787776
1442858168000,1524.03968,1549.53728,1354.502144,1550.155776,1492.033536
1442858230000,1521.4592,1549.221888,1349.632,1553.768448,1492.127744
1442858292000,1525.936128,1547.812864,1347.526656,1552.769024,1492.836352
1442858353000,1525.796864,1552.007168,1343.107072,1551.159296,1495.371776
1442858414000,1515.433984,1546.207232,1340.596224,1556.471808,1498.750976
1442858476000,1506.361344,1545.633792,1342.808064,1555.542016,1498.23488
1442858538000,1509.203968,1546.858496,1328.787456,1563.697152,1498.083328
1442858599000,1513.811968,1544.68352,1331.757056,1562.89024,1498.58304
1442858660000,1515.311104,1544.51968,1335.861248,1560.748032,1497.841664
1442858722000,1509.994496,1553.944576,1338.916864,1553.752064,1500.209152
1442858784000,1508.933632,1559.20384,1328.16896,1549.697024,1499.201536
1442858846000,1498.669056,1552.388096,1332.645888,1550.45888,1501.646848
1442858907000,1501.45024,1550.368768,1335.783424,1548.67712,1504.309248
1442858969000,1506.762752,1554.989056,1333.297152,1548.238848,1503.875072
1442859030000,1506.32448,1549.959168,1337.83552,1543.995392,1500.442624
1442859092000,1493.9136,1556.246528,1324.658688,1546.788864,1507.938304
1442859153000,1494.953984,1551.781888,1324.847104,1546.768384,1506.844672
1442859214000,1495.887872,1549.68064,1316.4544,1551.839232,1512.800256
1442859275000,1492.774912,1548.603392,1317.187584,1556.119552,1512.312832
1442859337000,1467.98592,1547.841536,1325.920256,1556.619264,1508.999168
1442859399000,1471.029248,1554.276352,1323.081728,1558.863872,1511.776256
1442859461000,1473.236992,1556.570112,1318.694912,1556.508672,1514.287104
1442859523000,1474.768896,1554.395136,1308.721152,1557.62688,1513.43104
1442859584000,1461.858304,1558.347776,1315.012608,1554.563072,1515.925504
1442859645000,1464.201216,1555.017728,1313.52576,1555.06688,1510.129664
1442859707000,1461.78048,1538.936832,1315.336192,1556.381696,1511.088128
1442859768000,1462.984704,1537.818624,1316.876288,1558.052864,1520.037888
1442859830000,1462.5792,1538.035712,1314.500608,1560.383488,1519.255552
1442859892000,1461.67808,1544.45824,1318.043648,1556.11136,1517.764608
1442859954000,1462.472704,1545.940992,1321.975808,1550.45888,1519.194112
